Resampled_R(ohm),Resampled_X(ohm),Normalized_R(ohm),Normalized_X(ohm)
0.150866,-0.0524853,1.0,-1.0
0.14503481818181818,-0.04920196363636364,1.0,-1.0
0.13920363636363636,-0.045918627272727275,1.0,-1.0
0.13337245454545454,-0.042635290909090906,1.0,-1.0
0.12871127272727273,-0.03977033636363637,1.0,-1.0
0.1263900909090909,-0.037742145454545455,1.0,-1.0
0.12406890909090909,-0.03571395454545455,1.0,-1.0
0.12174772727272727,-0.03368576363636364,1.0,-0.9687489875633518
0.1196110909090909,-0.031559136363636366,1.0,-0.8207179585755748
0.11756672727272727,-0.029383290909090913,1.0,-0.6692609328497291
0.11552236363636363,-0.027207445454545457,1.0,-0.5178039071238831
0.113478,-0.0250316,1.0,-0.36634688139803706
0.11213618181818182,-0.02352628181818182,1.0,-0.26156415700328073
0.11079436363636364,-0.02202096363636364,1.0,-0.15678143260852434
0.10945254545454546,-0.020515645454545456,1.0,-0.051998708213767716
0.10838390909090909,-0.019322445454545457,1.0,0.03105798256293644
0.10786163636363637,-0.01875348181818182,1.0,0.07066260610353639
0.10733936363636364,-0.018184518181818182,1.0,0.11026722964413634
0.10681709090909092,-0.017615554545454548,1.0,0.14987185318473606
0.10575336363636363,-0.01652297272727273,1.0,0.2259246777078476
0.10441890909090909,-0.015168581818181821,1.0,0.32020160272221476
0.10308445454545455,-0.013814190909090912,1.0,0.414478527736582
0.10175,-0.0124598,1.0,0.5087554527509495
0.10113647272727272,-0.011888245454545456,1.0,0.5485404252147761
0.10052294545454546,-0.01131669090909091,1.0,0.5883253976786028
0.09990941818181819,-0.010745136363636365,1.0,0.6281103701424293
0.09928523636363637,-0.010177238181818184,1.0,0.6676408291433723
0.09863974545454546,-0.009616652727272728,1.0,0.7066622612185485
0.09799425454545455,-0.009056067272727272,1.0,0.7456836932937245
0.09734876363636363,-0.008495481818181818,1.0,0.7847051253689005
0.09681158181818182,-0.008053165454545454,1.0,0.8154940404208799
0.09632855454545455,-0.007669983636363638,1.0,0.8421666969612608
0.09584552727272727,-0.007286801818181819,0.9906353757318184,0.8688393535016418
0.0953625,-0.00690362,0.9768745184692931,0.8955120100420229
0.09515926363636364,-0.0067566581818181825,0.971084562604557,0.905741780649389
0.09495602727272727,-0.006609696363636364,0.9652946067398208,0.9159715512567554
0.09475279090909092,-0.0064627345454545465,0.9595046508750851,0.9262013218641216
0.09443659090909091,-0.006258899090909092,0.9504964989298691,0.9403899728174496
0.09389446363636364,-0.0059413163636363635,0.9350519548236933,0.9624963844627005
0.09335233636363637,-0.005623733636363638,0.9196074107175174,0.9846027961079512
0.09281020909090909,-0.00530615090909091,0.9041628666113414,1.0
0.09243973636363637,-0.005122051818181818,0.8936085509287631,1.0
0.09215509090909091,-0.005004694545454546,0.8854993494579834,1.0
0.09187044545454545,-0.004887337272727273,0.8773901479872037,1.0
0.0915858,-0.00476998,0.869280946516424,1.0
0.0912486,-0.004700292727272727,0.8596745302105202,1.0
0.0909114,-0.0046306054545454545,0.8500681139046163,1.0
0.0905742,-0.004560918181818182,0.8404616975987121,1.0
0.09024737272727272,-0.004515164545454545,0.831150787628542,1.0
0.0899412909090909,-0.004517278181818182,0.8224308903298394,1.0
0.0896352090909091,-0.004519391818181818,0.8137109930311368,1.0
0.08932912727272728,-0.0045215054545454545,0.8049910957324343,1.0
0.08912604545454546,-0.0045236063636363635,0.7992055426790106,1.0
0.08897446363636363,-0.004525700909090909,0.7948871617482264,1.0
0.08882288181818182,-0.0045277954545454545,0.7905687808174424,1.0
0.0886713,-0.00452989,0.7862503998866582,1.0
0.08860617272727273,-0.004540954545454545,0.7843950034018234,1.0
0.08854104545454546,-0.004552019090909091,0.7825396069169887,1.0
0.08847591818181817,-0.004563083636363636,0.7806842104321534,1.0
0.08827444545454545,-0.004611943636363636,0.7749444984141594,1.0
0.08780028181818182,-0.004736394545454545,0.7614361553298465,1.0
0.08732611818181818,-0.004860845454545455,0.7479278122455334,1.0
0.08685195454545455,-0.0049852963636363625,0.7344194691612207,1.0
0.08647753636363636,-0.005090421818181817,0.723752752295725,1.0
0.08615299090909091,-0.005185884545454545,0.7145068485396383,1.0
0.08582844545454545,-0.005281347272727273,0.7052609447835512,1.0
0.0855039,-0.00537681,0.6960150410274645,1.0
0.0848314090909091,-0.005579476363636361,0.6768565960848104,0.9876834721182846
0.08415891818181818,-0.005782142727272725,0.657698151142156,0.9735761996615424
0.08348642727272727,-0.00598480909090909,0.6385397061995015,0.9594689272048005
0.08293469090909092,-0.006145890909090909,0.6228214108252534,0.9482562866060101
0.08262446363636364,-0.006223803636363636,0.6139834145878174,0.9428329097231233
0.08231423636363637,-0.006301716363636363,0.6051454183503816,0.9374095328402364
0.0820040090909091,-0.0063796290909090905,0.596307422112946,0.9319861559573495
0.08173136363636364,-0.0064397327272727265,0.5885400859911306,0.9278024406204319
0.08147750909090909,-0.006490931818181818,0.5813080799271257,0.9242385560564991
0.08122365454545455,-0.006542130909090909,0.5740760738631213,0.9206746714925662
0.0809698,-0.00659333,0.5668440677991163,0.9171107869286332
0.08085986363636363,-0.006618990909090908,0.5637121150225797,0.9153245732248009
0.08074992727272727,-0.006644651818181818,0.5605801622460431,0.9135383595209685
0.08063999090909091,-0.006670312727272728,0.5574482094695066,0.9117521458171362
0.08029488181818183,-0.0067350581818181815,0.5476164728199672,0.9072453211461851
0.07947942727272728,-0.006877972727272728,0.5243851684244213,0.8972972745409961
0.07866397272727274,-0.007020887272727271,0.5011538640288757,0.8873492279358073
0.07784851818181819,-0.0071638018181818175,0.47792255963332997,0.8774011813306182
0.07721506363636364,-0.007245961818181818,0.4598762130304132,0.8716821587742873
0.07667260909090909,-0.007297744545454545,0.4444223453238108,0.8680776482423855
0.07613015454545455,-0.007349527272727273,0.42896847761720874,0.8644731377104836
0.0755877,-0.00740131,0.41351460991060635,0.8608686271785816
0.07484942727272728,-0.007434828181818181,0.39248212128226484,0.8585354816349426
0.07411115454545456,-0.007468346363636363,0.37144963265392295,0.8562023360913037
0.07337288181818183,-0.007501864545454545,0.35041714402558105,0.8538691905476646
0.07263259090909092,-0.00750967,0.3293271598612771,0.8533258656863225
0.07188826363636365,-0.00746605,0.3081221846250485,0.856362182189574
0.07114393636363638,-0.007422430000000001,0.2869172093888198,0.8593984986928257
0.0703996090909091,-0.00737881,0.2657122341525912,0.8624348151960773
0.0699036090909091,-0.007321911818181819,0.25158179972872313,0.8663954041107853
0.06953177272727273,-0.007258374545454546,0.24098863571103493,0.8708181292312211
0.06915993636363638,-0.007194837272727273,0.2303954716933471,0.8752408543516572
